activity_id,name,category,sector,source,unit_type
waste-type_household_residual_waste-disposal_method_open_loop,Household residual waste disposal (to open-loop recycling),General Waste,Waste,BEIS,Weight
waste-type_insulation-disposal_method_closed_loop,Insulation waste disposal (to closed-loop recycling),Construction Waste,Waste,BEIS,Weight
waste-type_insulation-disposal_method_landfill,Insulation waste disposal (landfill),Construction Waste,Waste,BEIS,Weight
waste-type_kitchen_waste_and_green_waste-disposal_method_home_composting_in_closed_bin,Kitchen waste and green waste - Home composting in closed bin,Food and Organic Waste,Waste,ADEME,Weight
waste-type_kitchen_waste_and_green_waste-disposal_method_home_composting_in_heap,Kitchen waste and green waste - Home composting in heap,Food and Organic Waste,Waste,ADEME,Weight
waste-type_kitchen_waste_and_green_waste-disposal_method_industrial_composting,Kitchen waste and green waste - Industrial composting,Food and Organic Waste,Waste,ADEME,Weight
waste-type_ldpe-disposal_method_combusted,LDPE - Combusted,Plastic Waste,Waste,EPA,Weight
waste-type_ldpe-disposal_method_landfilled,LDPE - Landfilled,Plastic Waste,Waste,EPA,Weight
waste-type_ldpe_and_lldpe_including_forming-disposal_method_closed_loop,LDPE and LLDPE waste (incl. forming) disposal - closed-loop,Plastic Waste,Waste,BEIS,Weight
waste-type_ldpe_and_lldpe_including_forming-disposal_method_combustion,LDPE and LLDPE waste (incl. forming) disposal - combustion,Plastic Waste,Waste,BEIS,Weight
waste-type_ldpe_and_lldpe_including_forming-disposal_method_landfill,LDPE and LLDPE waste (incl. forming) disposal - landfill,Plastic Waste,Waste,BEIS,Weight
waste-type_ldpe_and_lldpe_including_forming-disposal_method_open_loop,LDPE and LLDPE waste (incl. forming) disposal - open-loop,Plastic Waste,Waste,BEIS,Weight
waste-type_leaves-disposal_method_anaerobically_digested_dry_digestate_with_curing,Leaves - Anaerobically Digested (Dry Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
waste-type_leaves-disposal_method_combusted,Leaves - Combusted,Food and Organic Waste,Waste,EPA,Weight
waste-type_leaves-disposal_method_composted,Leaves - Composted,Food and Organic Waste,Waste,EPA,Weight
waste-type_leaves-disposal_method_landfilled,Leaves - Landfilled,Food and Organic Waste,Waste,EPA,Weight
waste-type_lldpe-disposal_method_combusted,LLDPE - Combusted,Plastic Waste,Waste,EPA,Weight
waste-type_lldpe-disposal_method_landfilled,LLDPE - Landfilled,Plastic Waste,Waste,EPA,Weight
waste-type_magazines_third-class_mail-disposal_method_landfilled,Magazines/Third-class mail - Landfilled,Paper and Cardboard Waste,Waste,EPA,Weight
waste-type_magazines_third-class_mail-disposal_method_recycled,Magazines/Third-class mail - Recycled,Paper and Cardboard Waste,Waste,EPA,Weight
waste-type_magazines_third_class_mail-disposal_method_combusted,Magazines/Third-class mail - Combusted,Paper and Cardboard Waste,Waste,EPA,Weight
waste-type_magazines_third_class_mail-disposal_method_landfilled,Magazines/Third-class mail - Landfilled,Paper and Cardboard Waste,Waste,EPA,Weight
waste-type_magazines_third_class_mail-disposal_method_recycled,Magazines/Third-class mail - Recycled,Paper and Cardboard Waste,Waste,EPA,Weight
waste-type_medium_density_fiberboard-disposal_method_combusted,Medium-density Fiberboard - Combusted,Construction Waste,Waste,EPA,Weight
waste-type_medium_density_fiberboard-disposal_method_landfilled,Medium-density Fiberboard - Landfilled,Construction Waste,Waste,EPA,Weight
waste-type_medium_density_fiberboard-disposal_method_recycled,Medium-density Fiberboard - Recycled,Construction Waste,Waste,EPA,Weight
waste-type_metal_aluminium_cans_and_foil_excluding_forming-disposal_method_closed_loop,Metal: aluminium cans and foil waste disposal (excl. forming - closed-loop),Metal Waste,Waste,BEIS,Weight
waste-type_metal_aluminium_cans_and_foil_excluding_forming-disposal_method_combustion,Metal: aluminium cans and foil waste disposal (excl. forming - combustion),Metal Waste,Waste,BEIS,Weight
waste-type_metal_aluminium_cans_and_foil_excluding_forming-disposal_method_landfill,Metal: aluminium cans and foil waste disposal (excl. forming - landfill),Metal Waste,Waste,BEIS,Weight
waste-type_metal_aluminium_cans_and_foil_excluding_forming-disposal_method_open_loop,Metal: aluminium cans and foil waste disposal (excl. forming - open-loop),Metal Waste,Waste,BEIS,Weight
waste-type_metal_mixed_cans-disposal_method_closed_loop,Metal waste disposal (mixed cans - closed-loop),Metal Waste,Waste,BEIS,Weight
waste-type_metal_mixed_cans-disposal_method_combustion,Metal waste disposal (mixed cans - combustion),Metal Waste,Waste,BEIS,Weight
waste-type_metal_mixed_cans-disposal_method_landfill,Metal waste disposal (mixed cans - landfill),Metal Waste,Waste,BEIS,Weight
waste-type_metal_mixed_cans-disposal_method_open_loop,Metal waste disposal (mixed cans - open-loop),Metal Waste,Waste,BEIS,Weight
waste-type_metal_waste-disposal_method_incineration,Metal waste - incineration,Metal Waste,Waste,SEFR,Weight
waste-type_metals-disposal_method_closed_loop,Metals waste disposal (to closed-loop recycling),Construction Waste,Waste,BEIS,Weight
